Date,Open,High,Low,Close*,Adj Close**,Volume
1-Mar-23,"32,656.37","33,572.22","31,429.82","33,274.15","33,274.15","8,080,340,000"
1-Feb-23,"34,039.60","34,334.70","32,636.43","32,656.70","32,656.70","6,105,230,000"
1-Jan-23,"33,148.90","34,342.32","32,812.33","34,086.04","34,086.04","6,774,530,000"
1-Dec-22,"34,533.59","34,712.28","32,573.43","33,147.25","33,147.25","6,980,640,000"
1-Nov-22,"32,862.79","34,589.77","31,727.05","34,589.77","34,589.77","7,214,910,000"
1-Oct-22,"28,855.25","32,889.81","28,660.94","32,732.95","32,732.95","7,758,140,000"
1-Sep-22,"31,454.58","32,504.04","28,715.85","28,725.51","28,725.51","7,785,160,000"
1-Aug-22,"32,755.71","34,281.36","31,509.59","31,510.43","31,510.43","6,960,090,000"
1-Jul-22,"30,737.77","32,910.18","30,143.93","32,845.13","32,845.13","6,354,530,000"
1-Jun-22,"33,156.31","33,272.34","29,653.29","30,775.43","30,775.43","7,655,170,000"
1-May-22,"32,978.49","34,117.74","30,635.76","32,990.12","32,990.12","8,934,160,000"
1-Apr-22,"34,740.89","35,492.22","32,913.15","32,977.21","32,977.21","7,146,800,000"
1-Mar-22,"33,813.48","35,372.26","32,578.73","34,678.35","34,678.35","9,154,390,000"
1-Feb-22,"35,151.47","35,824.28","32,272.64","33,892.60","33,892.60","7,256,540,000"
1-Jan-22,"36,321.59","36,952.65","33,150.33","35,131.86","35,131.86","8,811,950,000"
1-Dec-21,"34,678.94","36,679.44","34,006.98","36,338.30","36,338.30","8,304,570,000"
1-Nov-21,"35,833.65","36,565.73","34,424.44","34,483.72","34,483.72","7,201,370,000"
1-Oct-21,"33,930.70","35,892.92","33,785.54","35,819.56","35,819.56","6,709,650,000"
1-Sep-21,"35,387.55","35,475.40","33,613.03","33,843.92","33,843.92","6,603,470,000"
1-Aug-21,"34,968.56","35,631.19","34,690.25","35,360.73","35,360.73","5,625,700,000"
1-Jul-21,"34,507.32","35,171.52","33,741.76","34,935.47","34,935.47","6,646,570,000"
1-Jun-21,"34,584.19","34,849.32","33,271.93","34,502.51","34,502.51","6,739,760,000"
1-May-21,"33,904.89","35,091.56","33,473.80","34,529.45","34,529.45","6,543,360,000"
1-Apr-21,"33,054.58","34,256.75","32,985.35","33,874.85","33,874.85","6,810,740,000"
1-Mar-21,"31,065.90","33,259.00","30,547.53","32,981.55","32,981.55","9,687,630,000"
1-Feb-21,"30,054.73","32,009.64","30,014.97","30,932.37","30,932.37","6,713,920,000"
1-Jan-21,"30,627.47","31,272.22","29,856.30","29,982.62","29,982.62","8,168,770,000"
1-Dec-20,"29,797.50","30,637.47","29,599.29","30,606.48","30,606.48","8,098,310,000"
1-Nov-20,"26,691.28","30,116.51","26,691.28","29,638.64","29,638.64","7,872,380,000"
1-Oct-20,"27,940.63","28,957.90","26,143.77","26,501.60","26,501.60","8,439,930,000"
1-Sep-20,"28,439.61","29,199.35","26,537.01","27,781.70","27,781.70","9,973,920,000"
1-Aug-20,"26,542.32","28,733.35","26,534.38","28,430.05","28,430.05","7,452,360,000"
1-Jul-20,"25,879.38","27,071.33","25,523.51","26,428.32","26,428.32","8,210,370,000"
1-Jun-20,"25,342.99","27,580.21","24,843.18","25,812.88","25,812.88","9,710,480,000"
