Date,Open,High,Low,Close*,Adj Close**,Volume
1-Mar-23,"11,447.58","12,227.93","10,982.80","12,221.91","12,221.91","120,323,510,000"
1-Feb-23,"11,573.14","12,269.55","11,334.47","11,455.54","11,455.54","99,644,100,000"
1-Jan-23,"10,562.06","11,691.89","10,265.04","11,584.55","11,584.55","106,732,920,000"
1-Dec-22,"11,475.17","11,571.64","10,207.47","10,466.48","10,466.48","100,007,430,000"
1-Nov-22,"11,154.74","11,492.62","10,262.93","11,468.00","11,468.00","101,572,370,000"
1-Oct-22,"10,659.01","11,230.44","10,088.83","10,988.15","10,988.15","98,292,380,000"
1-Sep-22,"11,707.44","12,270.19","10,572.33","10,575.62","10,575.62","98,888,530,000"
1-Aug-22,"12,317.96","13,181.09","11,790.02","11,816.20","11,816.20","110,367,680,000"
1-Jul-22,"11,006.83","12,426.26","10,911.45","12,390.69","12,390.69","94,293,720,000"
1-Jun-22,"12,176.89","12,320.12","10,565.14","11,028.74","11,028.74","113,875,890,000"
1-May-22,"12,331.69","12,985.01","11,035.69","12,081.39","12,081.39","111,465,680,000"
1-Apr-22,"14,269.53","14,534.38","12,315.74","12,334.64","12,334.64","96,581,010,000"
1-Mar-22,"13,716.70","14,646.90","12,555.35","14,220.52","14,220.52","131,081,330,000"
1-Feb-22,"14,277.43","14,509.56","12,587.88","13,751.40","13,751.40","89,543,300,000"
1-Jan-22,"15,732.50","15,852.14","13,094.65","14,239.88","14,239.88","100,106,820,000"
1-Dec-21,"15,752.27","15,901.47","14,860.04","15,644.97","15,644.97","104,264,460,000"
1-Nov-21,"15,541.26","16,212.23","15,451.39","15,537.69","15,537.69","109,314,860,000"
1-Oct-21,"14,494.93","15,504.12","14,181.69","15,498.39","15,498.39","99,492,020,000"
1-Sep-21,"15,308.98","15,403.44","14,444.30","14,448.58","14,448.58","95,275,100,000"
1-Aug-21,"14,758.60","15,288.08","14,423.16","15,259.24","15,259.24","88,083,480,000"
1-Jul-21,"14,493.69","14,863.65","14,178.66","14,672.68","14,672.68","88,708,530,000"
1-Jun-21,"13,829.06","14,535.97","13,548.93","14,503.95","14,503.95","108,377,000,000"
1-May-21,"14,031.77","14,042.12","13,002.54","13,748.74","13,748.74","89,415,440,000"
1-Apr-21,"13,414.32","14,211.57","13,404.18","13,962.68","13,962.68","91,591,470,000"
1-Mar-21,"13,406.16","13,620.71","12,397.05","13,246.87","13,246.87","134,201,470,000"
1-Feb-21,"13,226.18","14,175.12","13,003.98","13,192.35","13,192.35","142,926,770,000"
1-Jan-21,"12,958.52","13,728.98","12,543.24","13,070.69","13,070.69","139,796,850,000"
1-Dec-20,"12,313.36","12,973.33","12,214.74","12,888.28","12,888.28","112,635,010,000"
1-Nov-20,"11,010.45","12,244.65","10,830.95","12,198.74","12,198.74","91,282,630,000"
1-Oct-20,"11,291.99","11,965.54","10,822.57","10,911.59","10,911.59","78,287,400,000"
1-Sep-20,"11,850.96","12,074.06","10,519.49","11,167.51","11,167.51","82,496,920,000"
1-Aug-20,"10,848.64","11,829.84","10,762.71","11,775.46","11,775.46","78,996,130,000"
1-Jul-20,"10,063.67","10,839.93","10,048.04","10,745.27","10,745.27","95,054,280,000"
1-Jun-20,"9,471.42","10,221.85","9,403.00","10,058.77","10,058.77","112,284,350,000"
1-May-20,"8,681.29","9,523.64","8,537.83","9,489.87","9,489.87","81,175,640,000"
1-Apr-20,"7,459.50","8,957.27","7,288.11","8,889.55","8,889.55","79,171,670,000"
1-Mar-20,"8,667.14","9,070.32","6,631.42","7,700.10","7,700.10","97,320,230,000"
1-Feb-20,"9,190.72","9,838.37","8,264.16","8,567.37","8,567.37","53,886,320,000"
1-Jan-20,"9,039.46","9,451.43","8,943.50","9,150.94","9,150.94","52,694,760,000"
1-Dec-19,"8,672.84","9,052.00","8,435.40","8,972.60","8,972.60","46,214,040,000"
1-Nov-19,"8,335.05","8,705.91","8,326.56","8,665.47","8,665.47","41,773,310,000"
1-Oct-19,"8,026.83","8,335.56","7,700.00","8,292.36","8,292.36","44,203,530,000"
1-Sep-19,"7,906.44","8,243.80","7,847.32","7,999.34","7,999.34","41,720,490,000"
1-Aug-19,"8,190.56","8,311.04","7,662.90","7,962.88","7,962.88","46,323,300,000"
1-Jul-19,"8,145.85","8,339.64","8,059.29","8,175.42","8,175.42","42,846,360,000"
1-Jun-19,"7,441.21","8,088.88","7,292.22","8,006.24","8,006.24","44,821,400,000"
1-May-19,"8,132.93","8,164.71","7,448.23","7,453.15","7,453.15","47,822,630,000"
1-Apr-19,"7,800.24","8,176.08","7,777.09","8,095.39","8,095.39","43,553,400,000"
1-Mar-19,"7,587.45","7,850.11","7,332.92","7,729.32","7,729.32","49,622,660,000"
1-Feb-19,"7,256.37","7,602.69","7,225.14","7,532.53","7,532.53","42,628,810,000"
1-Jan-19,"6,506.91","7,303.12","6,457.13","7,281.74","7,281.74","49,542,480,000"
1-Dec-18,"7,486.13","7,486.51","6,190.17","6,635.28","6,635.28","49,224,830,000"
1-Nov-18,"7,327.82","7,572.93","6,830.76","7,330.54","7,330.54","48,901,700,000"
1-Oct-18,"8,091.50","8,107.38","6,922.83","7,305.90","7,305.90","61,889,960,000"
1-Sep-18,"8,087.95","8,104.07","7,873.93","8,046.35","8,046.35","44,907,360,000"
1-Aug-18,"7,701.82","8,133.30","7,659.52","8,109.54","8,109.54","46,197,780,000"
1-Jul-18,"7,451.90","7,933.31","7,443.10","7,671.79","7,671.79","38,964,090,000"
1-Jun-18,"7,487.66","7,806.60","7,419.56","7,510.30","7,510.30","48,573,740,000"
1-May-18,"7,053.65","7,492.42","6,991.14","7,442.12","7,442.12","45,761,130,000"
1-Apr-18,"7,016.17","7,319.58","6,805.96","7,066.27","7,066.27","43,233,040,000"
1-Mar-18,"7,274.75","7,637.27","6,901.07","7,063.45","7,063.45","48,760,550,000"
1-Feb-18,"7,377.17","7,441.09","6,630.67","7,273.01","7,273.01","44,063,140,000"
1-Jan-18,"6,937.65","7,505.77","6,924.08","7,411.48","7,411.48","44,694,030,000"
1-Dec-17,"6,844.04","7,003.89","6,734.13","6,903.39","6,903.39","38,755,950,000"
1-Nov-17,"6,758.64","6,914.19","6,667.31","6,873.97","6,873.97","42,080,670,000"
1-Oct-17,"6,506.08","6,737.75","6,484.14","6,727.67","6,727.67","41,620,780,000"
1-Sep-17,"6,442.17","6,497.98","6,334.59","6,495.96","6,495.96","38,354,650,000"
1-Aug-17,"6,372.16","6,435.27","6,177.19","6,428.66","6,428.66","41,368,170,000"
1-Jul-17,"6,173.29","6,460.84","6,081.96","6,348.12","6,348.12","36,228,200,000"
1-Jun-17,"6,215.91","6,341.70","6,087.81","6,140.42","6,140.42","50,292,320,000"
1-May-17,"6,067.56","6,221.99","5,996.81","6,198.52","6,198.52","42,405,030,000"
1-Apr-17,"5,917.32","6,074.04","5,805.15","6,047.61","6,047.61","33,894,020,000"
1-Mar-17,"5,874.86","5,928.06","5,769.39","5,911.74","5,911.74","44,064,880,000"
1-Feb-17,"5,654.51","5,867.89","5,616.40","5,825.44","5,825.44","36,811,150,000"
1-Jan-17,"5,425.62","5,669.61","5,397.99","5,614.79","5,614.79","36,115,440,000"
1-Dec-16,"5,323.88","5,512.37","5,238.21","5,383.12","5,383.12","38,648,510,000"
1-Nov-16,"5,199.77","5,403.86","5,034.41","5,323.68","5,323.68","41,950,260,000"
1-Oct-16,"5,300.29","5,340.52","5,169.76","5,189.14","5,189.14","34,708,450,000"
1-Sep-16,"5,218.28","5,342.88","5,097.80","5,312.00","5,312.00","40,112,010,000"
1-Aug-16,"5,167.42","5,275.74","5,109.80","5,213.22","5,213.22","38,754,780,000"
1-Jul-16,"4,837.18","5,175.81","4,786.01","5,162.13","5,162.13","36,050,040,000"
1-Jun-16,"4,928.97","4,980.14","4,574.25","4,842.67","4,842.67","44,213,900,000"
1-May-16,"4,786.55","4,951.45","4,678.38","4,948.05","4,948.05","38,803,240,000"
1-Apr-16,"4,842.55","4,969.32","4,740.84","4,775.36","4,775.36","38,014,300,000"
1-Mar-16,"4,596.01","4,899.14","4,581.75","4,869.85","4,869.85","40,738,880,000"
1-Feb-16,"4,587.59","4,636.93","4,209.76","4,557.95","4,557.95","43,108,650,000"
